Keyword,Intent,Relevance,Related %,Volume,Trend,Pot. Traffic,PKD %,KD %,CPC (USD),Com.,SF,Results,Updated
custom qr code generator,Informational,n/a,0,74.0K,,n/a,n/a,88,0.06,0.33,Go to a snapshot of the SERP for custom qr code generator,131,1 month
custom qr code maker,Commercial,n/a,0,74.0K,,n/a,n/a,91,0.06,0.33,Go to a snapshot of the SERP for custom qr code maker,134,1 month
qr code blue,Informational,n/a,0,74.0K,,n/a,n/a,28,0.00,0.33,Go to a snapshot of the SERP for qr code blue,77,1 month
qr code generator free,Informational,n/a,0,74.0K,,n/a,n/a,97,0.06,0.28,Go to a snapshot of the SERP for qr code generator free,135,1 month
how to print qr code,Informational,n/a,0,60.5K,,n/a,n/a,47,0.00,0.33,Go to a snapshot of the SERP for how to print qr code,106,1 month
qr generator,Informational,n/a,0,60.5K,,n/a,n/a,92,0.04,0.07,Go to a snapshot of the SERP for qr generator,20,1 month
upi qr code generator,Informational,n/a,0,60.5K,,n/a,n/a,33,0.83,0.33,Go to a snapshot of the SERP for upi qr code generator,62,1 month
generate qr code,Commercial,n/a,0,49.5K,,n/a,n/a,90,0.05,0.35,Go to a snapshot of the SERP for generate qr code,136,1 month
qr,Informational,n/a,0,49.5K,,n/a,n/a,88,0.03,0.03,Go to a snapshot of the SERP for qr,135,1 month
qr code example,Informational,n/a,0,49.5K,,n/a,n/a,51,0.19,0.33,Go to a snapshot of the SERP for qr code example,123,1 month
qr example,Informational,n/a,0,49.5K,,n/a,n/a,65,0.19,0.33,Go to a snapshot of the SERP for qr example,125,1 month
qr photo,Informational,n/a,0,49.5K,,n/a,n/a,27,0.01,0.33,Go to a snapshot of the SERP for qr photo,132,1 month
sample qr code,Informational,n/a,0,49.5K,,n/a,n/a,80,0.19,0.33,Go to a snapshot of the SERP for sample qr code,127,1 month
big qr code,Informational,n/a,0,40.5K,,n/a,n/a,86,0.00,0.33,Go to a snapshot of the SERP for big qr code,59,1 month
large qr code,Informational,n/a,0,40.5K,,n/a,n/a,79,0.00,0.33,Go to a snapshot of the SERP for large qr code,136,1 month
link to qr code,Informational,n/a,0,40.5K,,n/a,n/a,90,0.02,0.56,Go to a snapshot of the SERP for link to qr code,127,1 month
me qr,Navigational,n/a,0,40.5K,,n/a,n/a,88,0.01,0.24,Go to a snapshot of the SERP for me qr,n/a,1 month
custom qr code,Informational,n/a,0,33.1K,,n/a,n/a,85,0.05,0.01,Go to a snapshot of the SERP for custom qr code,n/a,1 month
free qr code generator,Informational,n/a,0,33.1K,,n/a,n/a,88,0.04,0.21,Go to a snapshot of the SERP for free qr code generator,131,1 month
google qr code,Navigational,n/a,0,33.1K,,n/a,n/a,79,0.02,0.33,Go to a snapshot of the SERP for google qr code,73,1 month
product barcode,Informational,n/a,0,33.1K,,n/a,n/a,75,0.24,0.01,Go to a snapshot of the SERP for product barcode,104,1 month
qr code image jpeg,Informational,n/a,0,33.1K,,n/a,n/a,34,0.00,0.33,Go to a snapshot of the SERP for qr code image jpeg,131,1 month
qr code pin,Informational,n/a,0,33.1K,,n/a,n/a,24,0.00,0.33,Go to a snapshot of the SERP for qr code pin,133,1 month
qr code with serial number,Informational,n/a,0,33.1K,,n/a,n/a,59,0.00,0.33,Go to a snapshot of the SERP for qr code with serial number,136,1 month
sptp barcode,Commercial,n/a,0,33.1K,,n/a,n/a,62,0.47,0.33,Go to a snapshot of the SERP for sptp barcode,108,1 month
uitly.com - free qr code generator,Informational,n/a,0,33.1K,,n/a,n/a,54,0.00,0.33,Go to a snapshot of the SERP for uitly.com - free qr code generator,7.7M,1 month
how to draw a qr code,Informational,n/a,0,27.1K,,n/a,n/a,54,0.00,0.33,Go to a snapshot of the SERP for how to draw a qr code,102,1 month
scan barcode qr code,Informational,n/a,0,27.1K,,n/a,n/a,70,0.00,0.33,Go to a snapshot of the SERP for scan barcode qr code,107,1 month
circular qr code generator,Commercial,n/a,0,22.2K,,n/a,n/a,63,0.00,0.33,Go to a snapshot of the SERP for circular qr code generator,79,1 month
free barcode,Navigational,n/a,0,22.2K,,n/a,n/a,63,0.18,0.33,Go to a snapshot of the SERP for free barcode,131,1 month
long qr code,Informational,n/a,0,22.2K,,n/a,n/a,91,0.00,0.33,Go to a snapshot of the SERP for long qr code,135,1 month
qr code for website,Informational,n/a,0,22.2K,,n/a,n/a,92,0.07,0.33,Go to a snapshot of the SERP for qr code for website,121,1 month
qr site,Informational,n/a,0,22.2K,,n/a,n/a,90,0.07,0.33,Go to a snapshot of the SERP for qr site,131,1 month
small qr,Informational,n/a,0,22.2K,,n/a,n/a,60,0.00,0.33,Go to a snapshot of the SERP for small qr,136,1 month
get qr code,Transactional,n/a,0,18.1K,,n/a,n/a,65,0.04,0.37,Go to a snapshot of the SERP for get qr code,135,1 month
image with qr code,Informational,n/a,0,18.1K,,n/a,n/a,35,0.01,0.01,Go to a snapshot of the SERP for image with qr code,129,1 month
location qr code generator,Commercial,n/a,0,18.1K,,n/a,n/a,30,0.02,0.29,Go to a snapshot of the SERP for location qr code generator,111,1 month
paper qr code,Informational,n/a,0,18.1K,,n/a,n/a,54,0.00,0.33,Go to a snapshot of the SERP for paper qr code,134,1 month
qr code logo in middle,Informational,n/a,0,18.1K,,n/a,n/a,32,0.06,0.33,Go to a snapshot of the SERP for qr code logo in middle,134,1 month
qr code on paper,Informational,n/a,0,18.1K,,n/a,n/a,30,0.00,0.33,Go to a snapshot of the SERP for qr code on paper,132,1 month
qr code paper,Informational,n/a,0,18.1K,,n/a,n/a,39,0.00,0.33,Go to a snapshot of the SERP for qr code paper,133,1 month
qr code with logo in the middle,Informational,n/a,0,18.1K,,n/a,n/a,30,0.06,0.33,Go to a snapshot of the SERP for qr code with logo in the middle,126,1 month
qr image,Informational,n/a,0,18.1K,,n/a,n/a,30,0.01,0.01,Go to a snapshot of the SERP for qr image,136,1 month
qr paper,Informational,n/a,0,18.1K,,n/a,n/a,40,0.00,0.33,Go to a snapshot of the SERP for qr paper,135,1 month
qr scanner online,Informational | Commercial,n/a,0,18.1K,,n/a,n/a,77,0.03,0.01,Go to a snapshot of the SERP for qr scanner online,112,1 month
square barcode,Informational,n/a,0,18.1K,,n/a,n/a,39,0.00,0.33,Go to a snapshot of the SERP for square barcode,106,1 month
wifi qr code generator,Informational,n/a,0,18.1K,,n/a,n/a,37,0.02,0.01,Go to a snapshot of the SERP for wifi qr code generator,122,1 month
beautiful qr code generator,Informational | Commercial,n/a,0,14.8K,,n/a,n/a,87,0.05,0.33,Go to a snapshot of the SERP for beautiful qr code generator,19,1 month
check in barcode,Informational,n/a,0,14.8K,,n/a,n/a,45,0.00,0.33,Go to a snapshot of the SERP for check in barcode,95,1 month
color qr,Informational,n/a,0,14.8K,,n/a,n/a,53,0.00,0.33,Go to a snapshot of the SERP for color qr,129,1 month
generate barcode,Informational,n/a,0,14.8K,,n/a,n/a,61,0.24,0.33,Go to a snapshot of the SERP for generate barcode,100,1 month
low resolution qr code,Informational,n/a,0,14.8K,,n/a,n/a,42,0.00,0.33,Go to a snapshot of the SERP for low resolution qr code,100,1 month
meqr,Navigational,n/a,0,14.8K,,n/a,n/a,43,0.01,0.27,Go to a snapshot of the SERP for meqr,n/a,1 month
pretty qr code generator,Commercial,n/a,0,14.8K,,n/a,n/a,53,0.05,0.33,Go to a snapshot of the SERP for pretty qr code generator,137,1 month
qr code model,Informational,n/a,0,14.8K,,n/a,n/a,49,0.00,0.33,Go to a snapshot of the SERP for qr code model,167,1 month
qr code with label,Informational,n/a,0,14.8K,,n/a,n/a,41,0.00,0.33,Go to a snapshot of the SERP for qr code with label,127,1 month
barcode sim,Informational,n/a,0,12.1K,,n/a,n/a,28,0.00,0.33,Go to a snapshot of the SERP for barcode sim,85,1 month
create qr code,Informational,n/a,0,12.1K,,n/a,n/a,93,0.04,0.37,Go to a snapshot of the SERP for create qr code,134,1 month
cur code,Informational,n/a,0,12.1K,,n/a,n/a,49,0.00,0.33,Go to a snapshot of the SERP for cur code,128,1 month
heart qr code generator,Informational,n/a,0,12.1K,,n/a,n/a,23,0.00,0.33,Go to a snapshot of the SERP for heart qr code generator,34,1 month
linkedin qr code generator,Informational,n/a,0,12.1K,,n/a,n/a,27,0.02,0.33,Go to a snapshot of the SERP for linkedin qr code generator,38,1 month
physical qr code,Informational,n/a,0,12.1K,,n/a,n/a,39,0.00,0.33,Go to a snapshot of the SERP for physical qr code,135,1 month
qr code test,Informational,n/a,0,12.1K,,n/a,n/a,37,0.25,0.33,Go to a snapshot of the SERP for qr code test,134,1 month
sim barcode,Informational,n/a,0,12.1K,,n/a,n/a,24,0.00,0.33,Go to a snapshot of the SERP for sim barcode,57,1 month
glow in the dark qr code,Informational,n/a,0,9.9K,,n/a,n/a,29,0.00,0.33,Go to a snapshot of the SERP for glow in the dark qr code,184,1 month
me qr code,Navigational,n/a,0,9.9K,,n/a,n/a,95,0.02,0.29,Go to a snapshot of the SERP for me qr code,n/a,1 month
mi qr code,Navigational,n/a,0,9.9K,,n/a,n/a,28,0.02,0.01,Go to a snapshot of the SERP for mi qr code,89,1 month
my qr code,Informational,n/a,0,9.9K,,n/a,n/a,92,0.03,0.31,Go to a snapshot of the SERP for my qr code,138,1 month
old qr code,Informational,n/a,0,9.9K,,n/a,n/a,80,0.00,0.33,Go to a snapshot of the SERP for old qr code,131,1 month
qr code generator instagram,Informational,n/a,0,9.9K,,n/a,n/a,30,0.02,0.33,Go to a snapshot of the SERP for qr code generator instagram,58,1 month
qr code generator online,Informational,n/a,0,9.9K,,n/a,n/a,83,0.04,0.33,Go to a snapshot of the SERP for qr code generator online,133,1 month
sptproversizelm,Informational,n/a,0,9.9K,,n/a,n/a,64,0.00,0.33,Go to a snapshot of the SERP for sptproversizelm,1.7K,1 month
url to qr,Informational,n/a,0,9.9K,,n/a,n/a,86,0.03,0.47,Go to a snapshot of the SERP for url to qr,76,1 month
qr barcode generator free,Commercial,n/a,0,8.1K,,n/a,n/a,90,0.06,0.07,Go to a snapshot of the SERP for qr barcode generator free,137,1 month
qr code image download,Informational,n/a,0,8.1K,,n/a,n/a,37,0.00,0.33,5,80,1 month
qr code maker online,Commercial,n/a,0,8.1K,,n/a,n/a,79,0.07,0.04,Go to a snapshot of the SERP for qr code maker online,132,1 month
qr code png,Informational,n/a,0,8.1K,,n/a,n/a,36,0.09,0.00,Go to a snapshot of the SERP for qr code png,127,1 month
qr code styles,Informational,n/a,0,8.1K,,n/a,n/a,63,0.05,0.33,Go to a snapshot of the SERP for qr code styles,134,1 month
scan barcode online,Informational,n/a,0,8.1K,,n/a,n/a,65,0.04,0.02,3,102,1 month
adobe qr code generator,Navigational,n/a,0,6.6K,,n/a,n/a,40,0.53,0.01,4,n/a,1 month
bulk qr,Informational,n/a,0,6.6K,,n/a,n/a,35,0.29,0.01,4,125,1 month
bulk qr code,Informational,n/a,0,6.6K,,n/a,n/a,37,0.24,0.01,Go to a snapshot of the SERP for bulk qr code,125,1 month
code generator,Informational,n/a,0,6.6K,,n/a,n/a,74,0.28,0.17,3,136,1 month
qr code generator free online,Informational,n/a,0,6.6K,,n/a,n/a,91,0.05,0.29,3,133,1 month
qr code logo,Informational,n/a,0,6.6K,,n/a,n/a,34,0.06,0.01,5,126,1 month
qr code maker,Commercial,n/a,0,6.6K,,n/a,n/a,88,0.04,0.32,Go to a snapshot of the SERP for qr code maker,138,1 month
qr code marker,Commercial,n/a,0,6.6K,,n/a,n/a,85,0.00,0.33,5,138,1 month
qr code shape generator,Informational,n/a,0,6.6K,,n/a,n/a,55,0.00,0.33,4,134,1 month
qrcode generator,Informational,n/a,0,6.6K,,n/a,n/a,98,0.03,0.14,3,137,1 month
text to qr code,Informational,n/a,0,6.6K,,n/a,n/a,83,0.02,0.19,7,109,1 month
url to qr code,Informational,n/a,0,6.6K,,n/a,n/a,90,0.03,0.53,7,121,1 month
101x101 qr code,Informational,n/a,0,5.4K,,n/a,n/a,37,0.00,0.33,4,15.5K,1 month
any qr code,Informational,n/a,0,5.4K,,n/a,n/a,78,0.05,0.33,Go to a snapshot of the SERP for any qr code,133,1 month
cute qr codes,Informational,n/a,0,5.4K,,n/a,n/a,61,0.00,0.33,Go to a snapshot of the SERP for cute qr codes,139,1 month
fancy qr code,Informational,n/a,0,5.4K,,n/a,n/a,37,0.07,0.33,Go to a snapshot of the SERP for fancy qr code,134,1 month
fb qr code generator,Informational,n/a,0,5.4K,,n/a,n/a,30,0.02,0.01,Go to a snapshot of the SERP for fb qr code generator,20,1 month
how to get qr code for shop,Informational,n/a,0,5.4K,,n/a,n/a,34,0.23,0.33,7,108,1 month
image qr code generator,Informational,n/a,0,5.4K,,n/a,n/a,62,0.02,0.29,5,129,1 month
kode qr,Informational,n/a,0,5.4K,,n/a,n/a,68,0.00,0.33,7,138,1 month
line qr,Informational,n/a,0,5.4K,,n/a,n/a,20,0.00,0.00,Go to a snapshot of the SERP for line qr,132,1 month
multiple qr code,Informational,n/a,0,5.4K,,n/a,n/a,34,0.00,0.33,4,123,1 month
online qr code generator,Commercial,n/a,0,5.4K,,n/a,n/a,90,0.05,0.20,2,133,1 month
pattern qr code,Informational,n/a,0,5.4K,,n/a,n/a,44,0.00,0.33,7,136,1 month
qr code barcode generator,Informational | Commercial,n/a,0,5.4K,,n/a,n/a,51,0.07,0.33,2,105,1 month
qr code cute,Informational,n/a,0,5.4K,,n/a,n/a,59,0.00,0.33,Go to a snapshot of the SERP for qr code cute,138,1 month
qr code demo,Informational,n/a,0,5.4K,,n/a,n/a,64,0.00,0.33,Go to a snapshot of the SERP for qr code demo,120,1 month
qr code fancy,Informational,n/a,0,5.4K,,n/a,n/a,59,0.05,0.33,Go to a snapshot of the SERP for qr code fancy,135,1 month
qr code generator for fb,Informational | Commercial,n/a,0,5.4K,,n/a,n/a,37,0.02,0.01,Go to a snapshot of the SERP for qr code generator for fb,90,1 month
qr code generator monkey,Navigational,n/a,0,5.4K,,n/a,n/a,43,0.02,0.11,4,118,1 month
qr code generator picture,Informational,n/a,0,5.4K,,n/a,n/a,49,0.02,0.24,5,129,1 month
qr code hello,Informational,n/a,0,5.4K,,n/a,n/a,31,0.00,0.33,7,129,1 month
qr code label,Informational,n/a,0,5.4K,,n/a,n/a,28,0.00,0.33,Go to a snapshot of the SERP for qr code label,66,1 month
qr code pattern,Informational,n/a,0,5.4K,,n/a,n/a,83,0.00,0.33,5,131,1 month
qr generator free,Commercial,n/a,0,5.4K,,n/a,n/a,81,0.04,0.27,4,424K,1 month
qr maker,Informational,n/a,0,5.4K,,n/a,n/a,88,0.03,0.39,5,135,1 month
qrcode demo,Informational,n/a,0,5.4K,,n/a,n/a,76,0.00,0.33,Go to a snapshot of the SERP for qrcode demo,70,1 month
qrcode pattern,Informational,n/a,0,5.4K,,n/a,n/a,43,0.00,0.33,8,129,1 month
red qr code,Informational,n/a,0,5.4K,,n/a,n/a,58,0.00,0.33,6,137,1 month
unlock qr code,Informational,n/a,0,5.4K,,n/a,n/a,78,0.00,0.33,6,255M,1 month
vin barcode generator,Informational | Commercial,n/a,0,5.4K,,n/a,n/a,18,0.00,0.33,2,210K,1 month
white qr code generator,Informational,n/a,0,5.4K,,n/a,n/a,79,0.02,0.33,5,130,1 month
barcode red,Informational,n/a,0,4.4K,,n/a,n/a,26,0.00,0.33,6,101,1 month
google qr code generator,Informational,n/a,0,4.4K,,n/a,n/a,83,0.05,0.25,6,128,1 month
id barcode scanner,Commercial,n/a,0,4.4K,,n/a,n/a,43,0.07,0.33,6,173,1 month
qr code generator for location,Commercial,n/a,0,4.4K,,n/a,n/a,30,0.03,0.39,5,105,1 month
qr code online,Informational,n/a,0,4.4K,,n/a,n/a,74,0.07,0.01,Go to a snapshot of the SERP for qr code online,134,1 month
qr code rectangle,Informational,n/a,0,4.4K,,n/a,n/a,51,0.00,0.33,Go to a snapshot of the SERP for qr code rectangle,93,1 month
qr code snake,Informational,n/a,0,4.4K,,n/a,n/a,29,0.00,0.33,6,111,1 month
qr code text generator,Commercial,n/a,0,4.4K,,n/a,n/a,85,0.02,0.28,2,124,1 month
qr demo,Informational,n/a,0,4.4K,,n/a,n/a,63,0.00,0.33,5,124,1 month
qr explore,Informational | Navigational,n/a,0,4.4K,,n/a,n/a,85,0.24,0.01,Go to a snapshot of the SERP for qr explore,108,1 month
qrcode pic,Informational,n/a,0,4.4K,,n/a,n/a,34,0.00,0.00,5,135,1 month
receipt qr code,Informational,n/a,0,4.4K,,n/a,n/a,16,0.00,0.33,7,129,1 month
rectangular qr code,Informational,n/a,0,4.4K,,n/a,n/a,37,0.00,0.33,Go to a snapshot of the SERP for rectangular qr code,138,1 month
small qr code,Informational,n/a,0,4.4K,,n/a,n/a,88,0.00,0.33,Go to a snapshot of the SERP for small qr code,131,1 month
beautiful qr codes,Informational,n/a,0,3.6K,,n/a,n/a,79,0.00,0.33,4,133,1 month
bulk qr code generator free,Commercial,n/a,0,3.6K,,n/a,n/a,33,0.24,0.01,3,120,1 month
cctv barcode,Informational,n/a,0,3.6K,,n/a,n/a,39,0.00,0.33,8,159,1 month
create a qr code for a link,Informational | Commercial,n/a,0,3.6K,,n/a,n/a,90,0.04,0.66,Go to a snapshot of the SERP for create a qr code for a link,20,1 month
create qr code for link,Commercial,n/a,0,3.6K,,n/a,n/a,90,0.05,0.69,3,116,1 month
free bulk qr code generator,Informational,n/a,0,3.6K,,n/a,n/a,34,0.24,0.01,4,124,1 month
generator qr.com,Navigational,n/a,0,3.6K,,n/a,n/a,77,0.01,0.15,1,101,1 month
link to qr,Commercial,n/a,0,3.6K,,n/a,n/a,89,0.03,0.58,3,127,1 month
mi qr code scanner,Commercial,n/a,0,3.6K,,n/a,n/a,29,0.00,0.33,Go to a snapshot of the SERP for mi qr code scanner,77,1 month
or code,Informational,n/a,0,3.6K,,n/a,n/a,91,0.05,0.02,4,136,1 month
qr barcode generator,Informational | Transactional,n/a,0,3.6K,,n/a,n/a,73,0.04,0.10,3,107,1 month
qr code banao,Informational | Commercial,n/a,0,3.6K,,n/a,n/a,51,0.02,0.31,Go to a snapshot of the SERP for qr code banao,109,1 month
qr code box,Informational,n/a,0,3.6K,,n/a,n/a,30,0.00,0.33,7,131,1 month
qr code generator online free,Informational | Commercial,n/a,0,3.6K,,n/a,n/a,90,0.08,0.17,3,133,1 month
qr code india,Informational,n/a,0,3.6K,,n/a,n/a,33,0.00,0.33,6,136,1 month
qr code quotes,Informational,n/a,0,3.6K,,n/a,n/a,26,0.00,0.33,7,133,1 month
qr code scanner online free,Informational,n/a,0,3.6K,,n/a,n/a,74,0.03,0.03,Go to a snapshot of the SERP for qr code scanner online free,106,1 month
qr code shapes,Informational,n/a,0,3.6K,,n/a,n/a,30,0.00,0.33,Go to a snapshot of the SERP for qr code shapes,135,1 month
qr print,Informational,n/a,0,3.6K,,n/a,n/a,40,0.05,0.07,4,130,1 month
qr quote,Informational,n/a,0,3.6K,,n/a,n/a,100,0.00,0.33,5,136,1 month
rectangular qr code generator,Informational,n/a,0,3.6K,,n/a,n/a,49,0.00,0.33,4,129,1 month
sample qr code to scan,Informational,n/a,0,3.6K,,n/a,n/a,36,0.00,0.33,Go to a snapshot of the SERP for sample qr code to scan,135,1 month
scan to register,Informational | Transactional,n/a,0,3.6K,,n/a,n/a,27,0.09,0.33,Go to a snapshot of the SERP for scan to register,131,1 month
simple qr code,Informational,n/a,0,3.6K,,n/a,n/a,90,0.05,0.33,4,75,1 month
web qr,Navigational,n/a,0,3.6K,,n/a,n/a,79,0.06,0.01,4,106,1 month
zepto qr code,Informational,n/a,0,3.6K,,n/a,n/a,60,0.00,0.33,5,101,1 month
activate qr code,Informational,n/a,0,2.9K,,n/a,n/a,28,0.02,0.33,6,128,1 month
awesome qr codes,Informational,n/a,0,2.9K,,n/a,n/a,35,0.00,0.33,4,133,1 month
barcode maker,Informational,n/a,0,2.9K,,n/a,n/a,65,0.12,0.01,2,105,1 month
bill qr code,Informational,n/a,0,2.9K,,n/a,n/a,29,0.00,0.33,8,118,1 month
canva qr code generator,Navigational,n/a,0,2.9K,,n/a,n/a,43,0.04,0.01,5,n/a,1 month
cool qr,Informational,n/a,0,2.9K,,n/a,n/a,54,0.00,0.33,6,136,1 month
cool qr codes,Informational,n/a,0,2.9K,,n/a,n/a,68,0.00,0.33,6,63,1 month
create qr code online,Commercial,n/a,0,2.9K,,n/a,n/a,87,0.05,0.17,Go to a snapshot of the SERP for create qr code online,134,1 month
custom qr code design,Informational,n/a,0,2.9K,,n/a,n/a,88,0.06,0.33,5,126,1 month
free barcode scanner,Informational,n/a,0,2.9K,,n/a,n/a,66,0.05,0.05,Go to a snapshot of the SERP for free barcode scanner,125,1 month
free qr code,Informational,n/a,0,2.9K,,n/a,n/a,82,0.05,0.19,4,133,1 month
generate qr code for url,Commercial,n/a,0,2.9K,,n/a,n/a,85,0.05,0.67,7,118,1 month
how to create a qr code,Informational,n/a,0,2.9K,,n/a,n/a,88,0.06,0.40,7,100,1 month
how to generate qr code,Informational,n/a,0,2.9K,,n/a,n/a,77,0.06,0.40,7,104,1 month
q r code generator,Informational | Transactional,n/a,0,2.9K,,n/a,n/a,95,0.04,0.06,5,137,1 month
qr code activation,Informational,n/a,0,2.9K,,n/a,n/a,24,0.02,0.33,6,134,1 month
qr code ai art generator,Commercial,n/a,0,2.9K,,n/a,n/a,47,0.03,0.16,Go to a snapshot of the SERP for qr code ai art generator,132,1 month
qr code download,Informational,n/a,0,2.9K,,n/a,n/a,47,0.02,0.07,Go to a snapshot of the SERP for qr code download,139,1 month
qr code jpg,Informational,n/a,0,2.9K,,n/a,n/a,42,0.00,0.33,Go to a snapshot of the SERP for qr code jpg,130,1 month
scan generator,Informational,n/a,0,2.9K,,n/a,n/a,83,0.05,0.07,3,133,1 month
sign qr code,Informational,n/a,0,2.9K,,n/a,n/a,65,0.00,0.33,6,120,1 month
tqrcg,Transactional,n/a,0,2.9K,,n/a,n/a,22,0.04,0.04,6,121,1 month
a qr,Informational,n/a,0,2.4K,,n/a,n/a,77,0.10,0.33,Go to a snapshot of the SERP for a qr,131,1 month
clothes qr code,Informational,n/a,0,2.4K,,n/a,n/a,18,0.00,0.33,7,116,1 month
codi qr,Informational,n/a,0,2.4K,,n/a,n/a,83,0.00,0.33,4,137,1 month
color qr code with logo,Informational,n/a,0,2.4K,,n/a,n/a,62,0.00,0.33,5,128,1 month
fake aadhar maker,Informational,n/a,0,2.4K,,n/a,n/a,30,0.00,0.33,3,417K,1 month
link to qr generator,Commercial,n/a,0,2.4K,,n/a,n/a,91,0.02,0.65,5,127,1 month
or code scanner,Informational,n/a,0,2.4K,,n/a,n/a,76,0.01,0.33,4,138,1 month
personal qr code,Informational,n/a,0,2.4K,,n/a,n/a,89,0.06,0.33,5,129,1 month
qr code chrome android,Informational,n/a,0,2.4K,,n/a,n/a,54,0.00,0.33,Go to a snapshot of the SERP for qr code chrome android,106,1 month
qr code for website url,Informational,n/a,0,2.4K,,n/a,n/a,83,0.04,0.02,5,114,1 month
qr code generator pdf,Commercial,n/a,0,2.4K,,n/a,n/a,28,0.03,0.30,Go to a snapshot of the SERP for qr code generator pdf,19,1 month
qr code pdf,Informational | Commercial,n/a,0,2.4K,,n/a,n/a,26,0.03,0.24,Go to a snapshot of the SERP for qr code pdf,125,1 month
qr code visiting card,Commercial,n/a,0,2.4K,,n/a,n/a,33,0.07,0.85,4,122,1 month
qr code white on black,Informational,n/a,0,2.4K,,n/a,n/a,21,0.00,0.33,9,179,1 month
qr code with number,Informational,n/a,0,2.4K,,n/a,n/a,72,0.00,0.33,3,125,1 month
qr scanner generator,Informational,n/a,0,2.4K,,n/a,n/a,76,0.05,0.09,2,135,1 month
qrexplore,Navigational,n/a,0,2.4K,,n/a,n/a,21,0.31,0.01,Go to a snapshot of the SERP for qrexplore,107,1 month
sptp,Informational,n/a,0,2.4K,,n/a,n/a,57,0.00,0.33,Go to a snapshot of the SERP for sptp,100,1 month
sptp barcode generator,Informational,n/a,0,2.4K,,n/a,n/a,59,0.23,0.01,3,105,1 month
text to qr,Commercial,n/a,0,2.4K,,n/a,n/a,76,0.02,0.19,Go to a snapshot of the SERP for text to qr,115,1 month
uid barcode,Informational,n/a,0,2.4K,,n/a,n/a,42,0.00,0.33,4,104,1 month
vin qr code,Informational,n/a,0,2.4K,,n/a,n/a,22,0.00,0.33,5,73,1 month
www qr com,Informational,n/a,0,2.4K,,n/a,n/a,82,0.05,0.05,3,99,1 month
www qrcode com,Navigational,n/a,0,2.4K,,n/a,n/a,93,0.05,0.05,4,133,1 month
a qr code,Informational,n/a,0,1.9K,,n/a,n/a,89,0.04,0.33,Go to a snapshot of the SERP for a qr code,130,1 month
amazing qr code,Informational,n/a,0,1.9K,,n/a,n/a,57,0.00,0.33,5,134,1 month
attractive qr codes,Informational,n/a,0,1.9K,,n/a,n/a,75,0.00,0.33,4,149,1 month
barcode card,Informational,n/a,0,1.9K,,n/a,n/a,35,0.00,0.33,6,95,1 month
barcode serial number,Informational,n/a,0,1.9K,,n/a,n/a,53,0.00,0.33,Go to a snapshot of the SERP for barcode serial number,107,1 month
