Keyword,Intent,Relevance,Related %,Volume,Trend,Pot. Traffic,PKD %,KD %,CPC (USD),Com.,SF,Results,Updated
qr,Informational,n/a,0,9.9K,,n/a,n/a,84,0.61,0.15,Go to a snapshot of the SERP for qr,134,1 month
qr code code,Informational,n/a,0,9.9K,,n/a,n/a,97,0.79,0.32,Go to a snapshot of the SERP for qr code code,136,1 month
qr code how to get,Informational,n/a,0,9.9K,,n/a,n/a,70,0.79,0.71,Go to a snapshot of the SERP for qr code how to get,103,1 month
build qr,Informational | Commercial,n/a,0,8.1K,,n/a,n/a,89,1.18,0.77,Go to a snapshot of the SERP for build qr,135,1 month
generating qr code free,Informational,n/a,0,8.1K,,n/a,n/a,91,1.19,0.78,Go to a snapshot of the SERP for generating qr code free,134,1 month
qr code maker,Commercial,n/a,0,8.1K,,n/a,n/a,84,0.77,0.71,Go to a snapshot of the SERP for qr code maker,138,1 month
qr code writer free,Informational,n/a,0,8.1K,,n/a,n/a,89,1.20,0.80,Go to a snapshot of the SERP for qr code writer free,173,1 month
qr generator,Commercial,n/a,0,6.6K,,n/a,n/a,88,0.96,0.71,Go to a snapshot of the SERP for qr generator,134,1 month
qr qr qr,Informational,n/a,0,6.6K,,n/a,n/a,79,0.58,0.11,Go to a snapshot of the SERP for qr qr qr,134,1 month
create a qr code,Informational,n/a,0,5.4K,,n/a,n/a,84,1.65,0.77,Go to a snapshot of the SERP for create a qr code,135,1 month
qr code monkey,Informational,n/a,0,5.4K,,n/a,n/a,34,0.52,0.40,Go to a snapshot of the SERP for qr code monkey,93,1 month
qr monkey,Navigational,n/a,0,5.4K,,n/a,n/a,44,0.28,0.26,Go to a snapshot of the SERP for qr monkey,n/a,1 month
create qr code free,Informational,n/a,0,4.4K,,n/a,n/a,89,1.29,0.78,Go to a snapshot of the SERP for create qr code free,134,1 month
creator qr,Commercial,n/a,0,4.4K,,n/a,n/a,84,0.65,0.70,Go to a snapshot of the SERP for creator qr,20,1 month
gen qr,Informational,n/a,0,4.4K,,n/a,n/a,90,0.65,0.70,Go to a snapshot of the SERP for gen qr,20,1 month
generate qr code,Informational,n/a,0,4.4K,,n/a,n/a,70,1.10,0.76,Go to a snapshot of the SERP for generate qr code,135,1 month
qr code creating,Informational,n/a,0,4.4K,,n/a,n/a,87,1.18,0.77,Go to a snapshot of the SERP for qr code creating,132,1 month
qr code creator,Commercial,n/a,0,4.4K,,n/a,n/a,88,0.79,0.73,Go to a snapshot of the SERP for qr code creator,20,1 month
scannable qr code,Informational,n/a,0,4.4K,,n/a,n/a,78,0.45,0.42,Go to a snapshot of the SERP for scannable qr code,101,1 month
generate scan code,Commercial,n/a,0,3.6K,,n/a,n/a,87,1.02,0.75,Go to a snapshot of the SERP for generate scan code,135,1 month
how to make a qr code,Informational,n/a,0,3.6K,,n/a,n/a,66,1.38,0.70,Go to a snapshot of the SERP for how to make a qr code,115,1 month
make a qr code,Informational,n/a,0,3.6K,,n/a,n/a,81,1.39,0.77,Go to a snapshot of the SERP for make a qr code,133,1 month
maker qr,Commercial,n/a,0,3.6K,,n/a,n/a,89,0.77,0.71,Go to a snapshot of the SERP for maker qr,139,1 month
qr codes,Informational,n/a,0,3.6K,,n/a,n/a,84,0.72,0.33,Go to a snapshot of the SERP for qr codes,127,1 month
qrcode generator,Commercial,n/a,0,3.6K,,n/a,n/a,91,0.79,0.71,Go to a snapshot of the SERP for qrcode generator,137,1 month
free qr code maker,Informational,n/a,0,2.9K,,n/a,n/a,90,1.29,0.78,Go to a snapshot of the SERP for free qr code maker,131,1 month
how do you make a scan code,Informational,n/a,0,2.9K,,n/a,n/a,86,1.38,0.70,Go to a snapshot of the SERP for how do you make a scan code,98,1 month
qrcode,Informational,n/a,0,2.9K,,n/a,n/a,98,0.72,0.33,Go to a snapshot of the SERP for qrcode,66,1 month
adobe qr code,Transactional | Navigational,n/a,0,2.4K,,n/a,n/a,37,1.13,0.03,3,n/a,1 month
dqrcode,Informational,n/a,0,2.4K,,n/a,n/a,54,0.72,0.33,Go to a snapshot of the SERP for dqrcode,3.5K,1 month
free qr barcode,Commercial,n/a,0,2.4K,,n/a,n/a,89,1.16,0.79,Go to a snapshot of the SERP for free qr barcode,133,1 month
free qr code,Commercial,n/a,0,2.4K,,n/a,n/a,88,1.09,0.79,5,130,1 month
how to generate a qr code,Informational,n/a,0,2.4K,,n/a,n/a,80,1.55,0.72,8,115,1 month
how to make qr barcode,Informational,n/a,0,2.4K,,n/a,n/a,85,1.66,0.73,Go to a snapshot of the SERP for how to make qr barcode,95,1 month
make qr code free,Commercial,n/a,0,2.4K,,n/a,n/a,89,1.29,0.78,Go to a snapshot of the SERP for make qr code free,129,1 month
online scanner qr,Informational | Commercial,n/a,0,2.4K,,n/a,n/a,72,0.34,0.12,3,101,1 month
qr writer,Informational,n/a,0,2.4K,,n/a,n/a,92,0.65,0.70,4,164,1 month
adobe qr,Navigational,n/a,0,1.9K,,n/a,n/a,37,1.13,0.03,4,108,1 month
canva qr code generator,Transactional | Navigational,n/a,0,1.9K,,n/a,n/a,38,1.41,0.16,Go to a snapshot of the SERP for canva qr code generator,n/a,1 month
create a qr code free,Informational,n/a,0,1.9K,,n/a,n/a,91,1.13,0.76,Go to a snapshot of the SERP for create a qr code free,38,1 month
create qr code generator,Commercial,n/a,0,1.9K,,n/a,n/a,83,1.02,0.75,Go to a snapshot of the SERP for create qr code generator,61,1 month
generate a qr,Commercial,n/a,0,1.9K,,n/a,n/a,86,1.02,0.75,5,136,1 month
get qr code,Transactional,n/a,0,1.9K,,n/a,n/a,76,1.03,0.77,6,129,1 month
how do i create a qr code,Informational,n/a,0,1.9K,,n/a,n/a,84,1.38,0.70,7,112,1 month
how do i make a qr code,Informational,n/a,0,1.9K,,n/a,n/a,84,1.64,0.71,Go to a snapshot of the SERP for how do i make a qr code,111,1 month
how to create a qr,Informational,n/a,0,1.9K,,n/a,n/a,87,1.55,0.72,Go to a snapshot of the SERP for how to create a qr,98,1 month
link to qr code,Informational,n/a,0,1.9K,,n/a,n/a,85,0.70,0.76,4,124,1 month
make qr code,Informational,n/a,0,1.9K,,n/a,n/a,88,1.18,0.77,Go to a snapshot of the SERP for make qr code,39,1 month
qr code adobe,Navigational,n/a,0,1.9K,,n/a,n/a,36,1.13,0.03,5,n/a,1 month
qr code producer,Informational,n/a,0,1.9K,,n/a,n/a,81,0.89,0.75,Go to a snapshot of the SERP for qr code producer,170,1 month
qr code scanner online,Informational,n/a,0,1.9K,,n/a,n/a,72,0.40,0.11,Go to a snapshot of the SERP for qr code scanner online,104,1 month
qr for free,Commercial,n/a,0,1.9K,,n/a,n/a,89,1.16,0.79,Go to a snapshot of the SERP for qr for free,132,1 month
qrcode monkey,Informational,n/a,0,1.9K,,n/a,n/a,52,0.33,0.31,9,126,1 month
create free qr code,Commercial,n/a,0,1.6K,,n/a,n/a,86,1.13,0.76,3,129,1 month
developing qr codes,Informational,n/a,0,1.6K,,n/a,n/a,94,1.02,0.75,8,123,1 month
how to create a scan code,Informational,n/a,0,1.6K,,n/a,n/a,80,1.38,0.70,Go to a snapshot of the SERP for how to create a scan code,120,1 month
how to get a qr code,Informational,n/a,0,1.6K,,n/a,n/a,66,1.68,0.71,Go to a snapshot of the SERP for how to get a qr code,102,1 month
qrmaker free,Commercial,n/a,0,1.6K,,n/a,n/a,90,1.19,0.78,Go to a snapshot of the SERP for qrmaker free,132,1 month
scan qr code from image,Informational,n/a,0,1.6K,,n/a,n/a,60,0.43,0.36,8,123,1 month
2d code generator,Informational,n/a,0,1.3K,,n/a,n/a,54,0.79,0.71,Go to a snapshot of the SERP for 2d code generator,130,1 month
barcode maker,Informational,n/a,0,1.3K,,n/a,n/a,57,0.81,0.22,2,167,1 month
create a free qr code,Commercial,n/a,0,1.3K,,n/a,n/a,89,1.13,0.76,7,130,1 month
develop qr code,Informational,n/a,0,1.3K,,n/a,n/a,86,1.02,0.75,Go to a snapshot of the SERP for develop qr code,127,1 month
free qr code scanner,Informational,n/a,0,1.3K,,n/a,n/a,45,0.46,0.51,Go to a snapshot of the SERP for free qr code scanner,131,1 month
free qr codes,Informational,n/a,0,1.3K,,n/a,n/a,82,1.09,0.79,7,129,1 month
how to create qr barcode,Informational,n/a,0,1.3K,,n/a,n/a,86,1.66,0.73,Go to a snapshot of the SERP for how to create qr barcode,99,1 month
how to make a qr,Informational,n/a,0,1.3K,,n/a,n/a,87,1.38,0.70,Go to a snapshot of the SERP for how to make a qr,116,1 month
link to qr,Commercial,n/a,0,1.3K,,n/a,n/a,86,0.52,0.71,5,126,1 month
make barcode free,Informational,n/a,0,1.3K,,n/a,n/a,53,0.78,0.10,2,132,1 month
qr code generator adobe,Navigational,n/a,0,1.3K,,n/a,n/a,35,1.27,0.03,Go to a snapshot of the SERP for qr code generator adobe,n/a,1 month
qr code sample code,Informational,n/a,0,1.3K,,n/a,n/a,37,0.73,0.66,8,142,1 month
qr scanner online,Informational,n/a,0,1.3K,,n/a,n/a,70,0.34,0.12,3,91,1 month
quick response code qr code,Informational,n/a,0,1.3K,,n/a,n/a,83,0.72,0.33,Go to a snapshot of the SERP for quick response code qr code,127,1 month
create qr code from url,Commercial,n/a,0,1.0K,,n/a,n/a,65,1.42,0.76,7,121,1 month
fake qr code,Informational,n/a,0,1.0K,,n/a,n/a,49,0.80,0.08,Go to a snapshot of the SERP for fake qr code,126,1 month
free qr code generator no sign up,Transactional,n/a,0,1.0K,,n/a,n/a,78,0.88,0.79,6,130,1 month
gen qr code online,Commercial,n/a,0,1.0K,,n/a,n/a,84,0.79,0.56,5,133,1 month
generate a qr code,Informational,n/a,0,1.0K,,n/a,n/a,84,0.96,0.71,Go to a snapshot of the SERP for generate a qr code,133,1 month
generate barcode,Informational,n/a,0,1.0K,,n/a,n/a,53,0.85,0.06,Go to a snapshot of the SERP for generate barcode,97,1 month
generate qr,Commercial,n/a,0,1.0K,,n/a,n/a,83,0.79,0.71,Go to a snapshot of the SERP for generate qr,135,1 month
get a qr code,Informational,n/a,0,1.0K,,n/a,n/a,75,1.18,0.77,Go to a snapshot of the SERP for get a qr code,133,1 month
google qr code generator,Informational,n/a,0,1.0K,,n/a,n/a,64,0.83,0.59,5,125,1 month
how do you create a qr code,Informational,n/a,0,1.0K,,n/a,n/a,78,1.38,0.70,Go to a snapshot of the SERP for how do you create a qr code,109,1 month
make a qr code free,Informational,n/a,0,1.0K,,n/a,n/a,90,0.91,0.75,Go to a snapshot of the SERP for make a qr code free,131,1 month
make qr code from url,Informational,n/a,0,1.0K,,n/a,n/a,88,1.42,0.76,Go to a snapshot of the SERP for make qr code from url,123,1 month
make qr code generator,Informational,n/a,0,1.0K,,n/a,n/a,87,1.02,0.75,Go to a snapshot of the SERP for make qr code generator,137,1 month
qr barcode example,Informational,n/a,0,1.0K,,n/a,n/a,57,0.73,0.66,Go to a snapshot of the SERP for qr barcode example,136,1 month
qr barcode maker online,Informational,n/a,0,1.0K,,n/a,n/a,66,0.79,0.56,3,106,1 month
qr code creator free,Informational,n/a,0,1.0K,,n/a,n/a,89,1.29,0.78,Go to a snapshot of the SERP for qr code creator free,134,1 month
qr code example,Informational,n/a,0,1.0K,,n/a,n/a,32,0.73,0.66,5,126,1 month
qr code made,Informational,n/a,0,1.0K,,n/a,n/a,88,1.18,0.77,Go to a snapshot of the SERP for qr code made,101,1 month
qr creator,Commercial,n/a,0,1.0K,,n/a,n/a,88,0.86,0.75,Go to a snapshot of the SERP for qr creator,20,1 month
qr creator free,Commercial,n/a,0,1.0K,,n/a,n/a,86,1.13,0.76,Go to a snapshot of the SERP for qr creator free,134,1 month
qrmonkey,Navigational,n/a,0,1.0K,,n/a,n/a,38,0.23,0.23,4,174,1 month
adobe express qr code,Informational,n/a,0,880,,n/a,n/a,34,1.14,0.05,Go to a snapshot of the SERP for adobe express qr code,105,1 month
code generator,Commercial,n/a,0,880,,n/a,n/a,69,2.24,0.42,Go to a snapshot of the SERP for code generator,136,1 month
generate qr code free,Commercial,n/a,0,880,,n/a,n/a,88,1.13,0.76,Go to a snapshot of the SERP for generate qr code free,132,1 month
how to create a qr code for a link,Informational,n/a,0,880,,n/a,n/a,72,1.96,0.74,6,107,1 month
online qr code generator,Informational,n/a,0,880,,n/a,n/a,82,0.79,0.56,4,133,1 month
online qr generator,Informational,n/a,0,880,,n/a,n/a,77,0.79,0.56,Go to a snapshot of the SERP for online qr generator,135,1 month
qr code creater,Commercial,n/a,0,880,,n/a,n/a,87,0.79,0.73,Go to a snapshot of the SERP for qr code creater,136,1 month
qr code image,Informational,n/a,0,880,,n/a,n/a,29,1.09,0.83,Go to a snapshot of the SERP for qr code image,137,1 month
qr explorer,Navigational,n/a,0,880,,n/a,n/a,34,2.92,0.02,4,106,1 month
qr generator free,Commercial,n/a,0,880,,n/a,n/a,88,1.00,0.77,Go to a snapshot of the SERP for qr generator free,133,1 month
qr maker,Commercial,n/a,0,880,,n/a,n/a,87,0.53,0.72,Go to a snapshot of the SERP for qr maker,20,1 month
qr-code-generator,Commercial,n/a,0,880,,n/a,n/a,86,0.79,0.71,Go to a snapshot of the SERP for qr-code-generator,138,1 month
qrcode maker,Commercial,n/a,0,880,,n/a,n/a,88,0.65,0.70,Go to a snapshot of the SERP for qrcode maker,138,1 month
wifi qr code generator,Informational,n/a,0,880,,n/a,n/a,28,0.58,0.61,5,117,1 month
code qr free,Commercial,n/a,0,720,,n/a,n/a,88,1.09,0.79,Go to a snapshot of the SERP for code qr free,128,1 month
creat qr code,Commercial,n/a,0,720,,n/a,n/a,87,1.50,0.77,Go to a snapshot of the SERP for creat qr code,133,1 month
create a scan code,Informational,n/a,0,720,,n/a,n/a,87,1.29,0.76,Go to a snapshot of the SERP for create a scan code,127,1 month
create qr codes,Commercial,n/a,0,720,,n/a,n/a,88,1.50,0.77,Go to a snapshot of the SERP for create qr codes,133,1 month
free qr code creator,Commercial,n/a,0,720,,n/a,n/a,88,1.13,0.76,6,132,1 month
generate free qr code,Commercial,n/a,0,720,,n/a,n/a,88,1.13,0.76,Go to a snapshot of the SERP for generate free qr code,133,1 month
google qr maker,Informational,n/a,0,720,,n/a,n/a,69,0.83,0.59,Go to a snapshot of the SERP for google qr maker,103,1 month
make a scan code,Commercial,n/a,0,720,,n/a,n/a,86,1.29,0.76,Go to a snapshot of the SERP for make a scan code,131,1 month
qr barcode generator online free,Informational,n/a,0,720,,n/a,n/a,86,1.00,0.77,Go to a snapshot of the SERP for qr barcode generator online free,199M,1 month
qr code free,Commercial,n/a,0,720,,n/a,n/a,86,1.00,0.75,Go to a snapshot of the SERP for qr code free,134,1 month
qr code free generator,Commercial,n/a,0,720,,n/a,n/a,88,1.13,0.76,Go to a snapshot of the SERP for qr code free generator,133,1 month
qr code generator free online,Commercial,n/a,0,720,,n/a,n/a,86,0.89,0.73,6,133,1 month
qr code generator generator,Commercial,n/a,0,720,,n/a,n/a,82,0.96,0.71,Go to a snapshot of the SERP for qr code generator generator,139,1 month
qr code picture,Informational,n/a,0,720,,n/a,n/a,19,0.92,0.70,5,134,1 month
qr code png,Informational,n/a,0,720,,n/a,n/a,34,1.26,0.06,Go to a snapshot of the SERP for qr code png,98,1 month
qrcodemonkey,Informational | Transactional,n/a,0,720,,n/a,n/a,53,0.52,0.40,7,126,1 month
qrfy,Navigational,n/a,0,720,,n/a,n/a,34,1.01,0.38,5,n/a,1 month
url to qr code,Informational,n/a,0,720,,n/a,n/a,81,0.47,0.65,7,121,1 month
create a qr code for free,Informational,n/a,0,590,,n/a,n/a,87,1.13,0.76,5,134,1 month
create qr code for web address,Informational,n/a,0,590,,n/a,n/a,90,1.51,0.78,Go to a snapshot of the SERP for create qr code for web address,112,1 month
creating a qr code,Informational,n/a,0,590,,n/a,n/a,86,1.50,0.77,8,127,1 month
dbl qr code generator,Informational,n/a,0,590,,n/a,n/a,15,0.00,0.33,Go to a snapshot of the SERP for dbl qr code generator,16,1 month
example qr code,Informational,n/a,0,590,,n/a,n/a,68,0.73,0.66,7,132,1 month
free online qr code generator,Commercial,n/a,0,590,,n/a,n/a,85,0.89,0.73,Go to a snapshot of the SERP for free online qr code generator,134,1 month
free qr generator,Informational,n/a,0,590,,n/a,n/a,86,1.08,0.76,Go to a snapshot of the SERP for free qr generator,20,1 month
free qr scanner,Informational,n/a,0,590,,n/a,n/a,65,0.41,0.46,Go to a snapshot of the SERP for free qr scanner,131,1 month
getting qr code,Informational,n/a,0,590,,n/a,n/a,86,1.03,0.77,5,117,1 month
how do you make a qr code,Informational,n/a,0,590,,n/a,n/a,88,1.38,0.70,Go to a snapshot of the SERP for how do you make a qr code,107,1 month
how to create qr code,Informational,n/a,0,590,,n/a,n/a,86,1.55,0.72,Go to a snapshot of the SERP for how to create qr code,117,1 month
how to make qr code,Informational,n/a,0,590,,n/a,n/a,84,1.38,0.70,Go to a snapshot of the SERP for how to make qr code,113,1 month
how to produce a qr code,Informational,n/a,0,590,,n/a,n/a,85,1.38,0.70,Go to a snapshot of the SERP for how to produce a qr code,111,1 month
make a qr code for free,Informational | Commercial,n/a,0,590,,n/a,n/a,87,1.13,0.76,8,130,1 month
photo qr code scan,Informational,n/a,0,590,,n/a,n/a,41,0.37,0.13,5,128,1 month
print qr code,Informational,n/a,0,590,,n/a,n/a,80,1.50,0.34,8,134,1 month
qr code creator free online,Commercial,n/a,0,590,,n/a,n/a,84,0.89,0.73,Go to a snapshot of the SERP for qr code creator free online,134,1 month
qr code fake,Informational,n/a,0,590,,n/a,n/a,21,0.80,0.08,Go to a snapshot of the SERP for qr code fake,117,1 month
qr code generator google,Informational,n/a,0,590,,n/a,n/a,95,0.85,0.64,6,127,1 month
qr code io,Navigational,n/a,0,590,,n/a,n/a,42,0.68,0.47,Go to a snapshot of the SERP for qr code io,43,1 month
qr code maker free,Commercial,n/a,0,590,,n/a,n/a,87,0.83,0.71,Go to a snapshot of the SERP for qr code maker free,38,1 month
qr code maker free online,Commercial,n/a,0,590,,n/a,n/a,89,0.83,0.72,Go to a snapshot of the SERP for qr code maker free online,131,1 month
qr code sample,Informational,n/a,0,590,,n/a,n/a,49,0.73,0.66,5,135,1 month
qr code scanner from image,Informational,n/a,0,590,,n/a,n/a,48,0.37,0.13,5,135,1 month
qr io,Navigational,n/a,0,590,,n/a,n/a,29,0.65,0.46,Go to a snapshot of the SERP for qr io,n/a,1 month
qr kodu,Informational,n/a,0,590,,n/a,n/a,36,0.00,0.22,6,134,1 month
qr kód generátor,Informational,n/a,0,590,,n/a,n/a,83,0.47,0.24,5,131,1 month
qr maker free,Commercial,n/a,0,590,,n/a,n/a,85,1.13,0.76,Go to a snapshot of the SERP for qr maker free,134,1 month
qr url generator,Commercial,n/a,0,590,,n/a,n/a,85,1.42,0.76,6,127,1 month
quick response code app,Informational,n/a,0,590,,n/a,n/a,66,0.50,0.51,Go to a snapshot of the SERP for quick response code app,646M,1 month
random qr code,Informational,n/a,0,590,,n/a,n/a,32,0.64,0.20,Go to a snapshot of the SERP for random qr code,99,1 month
sample qr code,Informational,n/a,0,590,,n/a,n/a,35,0.73,0.66,Go to a snapshot of the SERP for sample qr code,135,1 month
turn link into qr code,Commercial,n/a,0,590,,n/a,n/a,83,1.63,0.76,Go to a snapshot of the SERP for turn link into qr code,120,1 month
url to qr,Commercial,n/a,0,590,,n/a,n/a,83,0.47,0.65,4,121,1 month
adobe qr generator,Navigational,n/a,0,480,,n/a,n/a,37,1.54,0.03,Go to a snapshot of the SERP for adobe qr generator,101,1 month
barcode creater,Navigational,n/a,0,480,,n/a,n/a,59,0.81,0.06,3,100,1 month
call qr code,Informational,n/a,0,480,,n/a,n/a,16,0.00,0.33,4,81,1 month
canva qr code,Transactional | Navigational,n/a,0,480,,n/a,n/a,40,1.02,0.12,4,n/a,1 month
creat a qr code,Commercial,n/a,0,480,,n/a,n/a,83,1.50,0.77,8,127,1 month
create a qr,Informational,n/a,0,480,,n/a,n/a,85,1.18,0.77,Go to a snapshot of the SERP for create a qr,137,1 month
create a qr code for a link,Informational,n/a,0,480,,n/a,n/a,73,1.84,0.75,Go to a snapshot of the SERP for create a qr code for a link,119,1 month
create barcode,Navigational,n/a,0,480,,n/a,n/a,59,0.75,0.42,3,98,1 month
create qr barcode,Informational,n/a,0,480,,n/a,n/a,82,1.03,0.77,Go to a snapshot of the SERP for create qr barcode,133,1 month
create qr code for free,Informational,n/a,0,480,,n/a,n/a,86,1.13,0.76,Go to a snapshot of the SERP for create qr code for free,37,1 month
create qr code for website,Informational,n/a,0,480,,n/a,n/a,83,2.28,0.71,Go to a snapshot of the SERP for create qr code for website,37,1 month
create scan code,Commercial,n/a,0,480,,n/a,n/a,84,1.50,0.77,5,136,1 month
creating qr codes,Informational,n/a,0,480,,n/a,n/a,84,1.50,0.77,6,125,1 month
creator qr code,Informational,n/a,0,480,,n/a,n/a,84,0.00,0.00,Go to a snapshot of the SERP for creator qr code,139,1 month
fake qr,Informational,n/a,0,480,,n/a,n/a,28,0.80,0.08,8,122,1 month
free online qr code maker,Commercial,n/a,0,480,,n/a,n/a,82,0.83,0.72,5,134,1 month
free qr creator,Commercial,n/a,0,480,,n/a,n/a,88,1.29,0.78,Go to a snapshot of the SERP for free qr creator,128,1 month
free qr maker,Commercial,n/a,0,480,,n/a,n/a,86,1.13,0.76,4,132,1 month
generate qr code for wifi,Informational,n/a,0,480,,n/a,n/a,35,0.70,0.62,Go to a snapshot of the SERP for generate qr code for wifi,123,1 month
how to generate qr code,Informational,n/a,0,480,,n/a,n/a,78,1.55,0.72,Go to a snapshot of the SERP for how to generate qr code,112,1 month
how to make a qr code for a link,Informational,n/a,0,480,,n/a,n/a,72,1.57,0.74,Go to a snapshot of the SERP for how to make a qr code for a link,99,1 month
how to make a qr code for a website,Informational,n/a,0,480,,n/a,n/a,64,2.21,0.76,Go to a snapshot of the SERP for how to make a qr code for a website,98,1 month
how to make a qr code from a link,Informational,n/a,0,480,,n/a,n/a,82,1.57,0.74,Go to a snapshot of the SERP for how to make a qr code from a link,1.3B,1 month
image qr reader,Informational,n/a,0,480,,n/a,n/a,47,0.40,0.22,3,135,1 month
immagine qr code,Informational,n/a,0,480,,n/a,n/a,24,0.92,0.70,4,138,1 month
make qr code free online,Commercial,n/a,0,480,,n/a,n/a,86,0.83,0.72,Go to a snapshot of the SERP for make qr code free online,20,1 month
making a qr code,Informational,n/a,0,480,,n/a,n/a,84,1.18,0.77,6,125,1 month
making a qr code for free,Informational,n/a,0,480,,n/a,n/a,89,1.13,0.76,Go to a snapshot of the SERP for making a qr code for free,129,1 month
me qr,Navigational,n/a,0,480,,n/a,n/a,54,0.74,0.45,Go to a snapshot of the SERP for me qr,n/a,1 month
monkey qr code,Informational | Transactional,n/a,0,480,,n/a,n/a,29,0.22,0.22,3,128,1 month
my qr code,Navigational,n/a,0,480,,n/a,n/a,80,1.08,0.51,7,172,1 month
qr barcode creator online,Informational,n/a,0,480,,n/a,n/a,56,0.79,0.56,Go to a snapshot of the SERP for qr barcode creator online,106,1 month
qr code builder,Commercial,n/a,0,480,,n/a,n/a,86,0.79,0.71,Go to a snapshot of the SERP for qr code builder,135,1 month
qr code create,Informational,n/a,0,480,,n/a,n/a,82,0.91,0.75,Go to a snapshot of the SERP for qr code create,135,1 month
qr codes generator,Commercial,n/a,0,480,,n/a,n/a,89,0.79,0.71,Go to a snapshot of the SERP for qr codes generator,135,1 month
qr from image,Informational,n/a,0,480,,n/a,n/a,35,1.09,0.83,Go to a snapshot of the SERP for qr from image,19,1 month
qr gen,Informational,n/a,0,480,,n/a,n/a,84,0.79,0.71,Go to a snapshot of the SERP for qr gen,20,1 month
qr generator freeware,Informational,n/a,0,480,,n/a,n/a,83,1.09,0.78,Go to a snapshot of the SERP for qr generator freeware,128,1 month
qr reader picture,Informational,n/a,0,480,,n/a,n/a,39,0.40,0.22,5,118,1 month
turn a link into a qr code,Informational,n/a,0,480,,n/a,n/a,77,1.32,0.77,Go to a snapshot of the SERP for turn a link into a qr code,121,1 month
2d code maker,Navigational,n/a,0,390,,n/a,n/a,59,0.65,0.70,3,138,1 month
barcode qr code,Informational,n/a,0,390,,n/a,n/a,66,0.72,0.10,5,135,1 month
best free qr code generator,Commercial,n/a,0,390,,n/a,n/a,81,1.08,0.63,Go to a snapshot of the SERP for best free qr code generator,123,1 month
create a qr code for a url,Informational,n/a,0,390,,n/a,n/a,85,1.62,0.79,Go to a snapshot of the SERP for create a qr code for a url,111,1 month
create your code,Commercial,n/a,0,390,,n/a,n/a,86,1.03,0.77,Go to a snapshot of the SERP for create your code,133,1 month
dynamic qr code,Informational,n/a,0,390,,n/a,n/a,34,3.39,0.62,6,125,1 month
generate a qr code free,Commercial,n/a,0,390,,n/a,n/a,85,1.13,0.76,Go to a snapshot of the SERP for generate a qr code free,132,1 month
generate wifi qr code,Informational,n/a,0,390,,n/a,n/a,37,0.58,0.61,8,113,1 month
google qr code,Navigational,n/a,0,390,,n/a,n/a,62,0.73,0.89,Go to a snapshot of the SERP for google qr code,45,1 month
hovercode,Navigational,n/a,0,390,,n/a,n/a,37,2.81,0.09,6,n/a,1 month
how to create a qr code for a website,Informational,n/a,0,390,,n/a,n/a,75,2.21,0.76,Go to a snapshot of the SERP for how to create a qr code for a website,100,1 month
how to get qr code,Informational,n/a,0,390,,n/a,n/a,66,1.55,0.72,Go to a snapshot of the SERP for how to get qr code,109,1 month
how to make a qr code free,Informational,n/a,0,390,,n/a,n/a,86,1.46,0.68,6,113,1 month
how to make a qr code link,Informational,n/a,0,390,,n/a,n/a,82,2.36,0.78,Go to a snapshot of the SERP for how to make a qr code link,95,1 month
how to make a scan code,Informational,n/a,0,390,,n/a,n/a,80,1.38,0.70,5,101,1 month
