Keyword,Intent,Relevance,Related %,Volume,Trend,Pot. Traffic,PKD %,KD %,CPC (USD),Com.,SF,Results,Updated
qr-code erstellen kostenlos ohne anmeldung,Transactional,n/a,0,1.9K,,n/a,n/a,56,0.45,0.73,Go to a snapshot of the SERP for qr-code erstellen kostenlos ohne anmeldung,42,1 month
qr-code monkey,Informational,n/a,0,1.9K,,n/a,n/a,26,0.29,0.42,Go to a snapshot of the SERP for qr-code monkey,131,1 month
qr-code-generator,Informational,n/a,0,1.9K,,n/a,n/a,66,0.58,0.61,Go to a snapshot of the SERP for qr-code-generator,124,1 month
visitenkarte qr code,Informational,n/a,0,1.9K,,n/a,n/a,30,1.59,1.00,Go to a snapshot of the SERP for visitenkarte qr code,128,1 month
create qr barcode online,Commercial,n/a,0,1.6K,,n/a,n/a,93,0.40,0.53,4,130,1 month
creator qr code,Commercial,n/a,0,1.6K,,n/a,n/a,73,0.35,0.58,Go to a snapshot of the SERP for creator qr code,135,1 month
gen qr code online,Informational,n/a,0,1.6K,,n/a,n/a,70,0.40,0.53,4,129,1 month
link in qr code umwandeln,Commercial,n/a,0,1.6K,,n/a,n/a,55,0.67,0.78,6,125,1 month
link to qr,Informational,n/a,0,1.6K,,n/a,n/a,67,0.26,0.60,5,132,1 month
qr code erstellen kostenlos dauerhaft,Informational,n/a,0,1.6K,,n/a,n/a,60,0.87,0.72,Go to a snapshot of the SERP for qr code erstellen kostenlos dauerhaft,115,1 month
qr code kostenlos,Commercial,n/a,0,1.6K,,n/a,n/a,56,0.56,0.70,5,129,1 month
qr code maker,Commercial,n/a,0,1.6K,,n/a,n/a,51,0.38,0.59,6,130,1 month
qr-code erstellen,Informational,n/a,0,1.6K,,n/a,n/a,61,0.00,0.00,Go to a snapshot of the SERP for qr-code erstellen,43,1 month
qr-codegenerator,Informational,n/a,0,1.6K,,n/a,n/a,62,0.58,0.61,Go to a snapshot of the SERP for qr-codegenerator,125,1 month
scannable qr code,Informational,n/a,0,1.6K,,n/a,n/a,55,0.29,0.28,Go to a snapshot of the SERP for scannable qr code,95,1 month
test qr code,Informational,n/a,0,1.6K,,n/a,n/a,25,1.06,0.33,Go to a snapshot of the SERP for test qr code,136,1 month
adobe qr code erstellen,Informational | Navigational,n/a,0,1.3K,,n/a,n/a,36,1.16,0.07,6,n/a,1 month
adobe qr code generator,Transactional | Navigational,n/a,0,1.3K,,n/a,n/a,36,1.11,0.08,5,n/a,1 month
application qr code,Informational,n/a,0,1.3K,,n/a,n/a,30,0.36,0.48,7,155,1 month
barcode generieren,Navigational,n/a,0,1.3K,,n/a,n/a,27,0.55,0.13,6,n/a,1 month
cod qr,Informational,n/a,0,1.3K,,n/a,n/a,76,0.42,0.01,Go to a snapshot of the SERP for cod qr,134,1 month
free qr code maker,Commercial,n/a,0,1.3K,,n/a,n/a,87,0.58,0.68,4,135,1 month
free qr maker,Informational,n/a,0,1.3K,,n/a,n/a,73,0.70,0.71,4,129,1 month
generate a qr,Commercial,n/a,0,1.3K,,n/a,n/a,74,0.49,0.59,4,134,1 month
generate qr code,Informational,n/a,0,1.3K,,n/a,n/a,65,0.49,0.59,8,131,1 month
generator code qr,Commercial,n/a,0,1.3K,,n/a,n/a,66,0.58,0.61,Go to a snapshot of the SERP for generator code qr,130,1 month
getting a qr code,Informational,n/a,0,1.3K,,n/a,n/a,80,0.55,0.62,5,44,1 month
kod qr,Informational,n/a,0,1.3K,,n/a,n/a,64,0.48,0.08,6,130,1 month
link zu qr code,Commercial,n/a,0,1.3K,,n/a,n/a,64,0.43,0.76,Go to a snapshot of the SERP for link zu qr code,123,1 month
qr code builder,Informational,n/a,0,1.3K,,n/a,n/a,84,0.58,0.61,Go to a snapshot of the SERP for qr code builder,19,1 month
qr code coder,Commercial,n/a,0,1.3K,,n/a,n/a,72,0.48,0.24,Go to a snapshot of the SERP for qr code coder,97,1 month
qr code generator kostenlos ohne anmeldung,Transactional,n/a,0,1.3K,,n/a,n/a,47,0.42,0.70,7,114,1 month
qr code kostenlos generieren,Commercial,n/a,0,1.3K,,n/a,n/a,59,0.82,0.77,6,130,1 month
qr code mit link,Informational,n/a,0,1.3K,,n/a,n/a,64,0.99,0.33,Go to a snapshot of the SERP for qr code mit link,122,1 month
qr code test,Informational,n/a,0,1.3K,,n/a,n/a,21,1.03,0.01,5,136,1 month
qr kod,Informational,n/a,0,1.3K,,n/a,n/a,88,0.35,0.05,Go to a snapshot of the SERP for qr kod,135,1 month
qr-code auf visitenkarte,Informational,n/a,0,1.3K,,n/a,n/a,27,1.59,1.00,Go to a snapshot of the SERP for qr-code auf visitenkarte,122,1 month
qr-code generator kostenlos,Commercial,n/a,0,1.3K,,n/a,n/a,62,0.66,0.73,Go to a snapshot of the SERP for qr-code generator kostenlos,113,1 month
visitenkarten mit qr code,Informational,n/a,0,1.3K,,n/a,n/a,21,1.55,1.00,6,120,1 month
create a qr barcode,Commercial,n/a,0,1.0K,,n/a,n/a,91,0.57,0.61,Go to a snapshot of the SERP for create a qr barcode,125,1 month
create qr code free,Commercial,n/a,0,1.0K,,n/a,n/a,96,0.74,0.72,Go to a snapshot of the SERP for create qr code free,130,1 month
generate qr online,Informational,n/a,0,1.0K,,n/a,n/a,81,0.43,0.53,Go to a snapshot of the SERP for generate qr online,126,1 month
kostenlos qr code generieren,Commercial,n/a,0,1.0K,,n/a,n/a,64,0.85,0.73,Go to a snapshot of the SERP for kostenlos qr code generieren,126,1 month
kostenlosen qr code erstellen,Informational,n/a,0,1.0K,,n/a,n/a,61,0.84,0.79,Go to a snapshot of the SERP for kostenlosen qr code erstellen,125,1 month
make qr,Commercial,n/a,0,1.0K,,n/a,n/a,76,0.55,0.62,7,129,1 month
me qr,Navigational,n/a,0,1.0K,,n/a,n/a,26,0.38,0.32,7,139,1 month
me-qr,Navigational,n/a,0,1.0K,,n/a,n/a,33,0.43,0.36,Go to a snapshot of the SERP for me-qr,136,1 month
qr co,Commercial,n/a,0,1.0K,,n/a,n/a,71,0.48,0.24,Go to a snapshot of the SERP for qr co,136,1 month
qr code als visitenkarte,Informational,n/a,0,1.0K,,n/a,n/a,28,1.59,1.00,5,128,1 month
qr code creator,Commercial,n/a,0,1.0K,,n/a,n/a,61,0.52,0.64,6,133,1 month
qr code for apps,Informational,n/a,0,1.0K,,n/a,n/a,30,0.36,0.48,6,127,1 month
qr code generator adobe,Navigational,n/a,0,1.0K,,n/a,n/a,41,1.11,0.08,3,n/a,1 month
qr code generator online,Commercial,n/a,0,1.0K,,n/a,n/a,79,0.40,0.53,4,130,1 month
qr code making,Commercial,n/a,0,1.0K,,n/a,n/a,69,0.55,0.62,8,129,1 month
qr code producer,Commercial,n/a,0,1.0K,,n/a,n/a,84,0.55,0.66,Go to a snapshot of the SERP for qr code producer,170,1 month
qr creation,Informational,n/a,0,1.0K,,n/a,n/a,79,0.35,0.58,Go to a snapshot of the SERP for qr creation,128,1 month
qr gene,Informational,n/a,0,1.0K,,n/a,n/a,65,0.42,0.55,Go to a snapshot of the SERP for qr gene,126,1 month
qr generator kostenlos,Informational,n/a,0,1.0K,,n/a,n/a,64,0.69,0.75,Go to a snapshot of the SERP for qr generator kostenlos,116,1 month
qr link,Informational,n/a,0,1.0K,,n/a,n/a,67,0.26,0.60,3,129,1 month
qr online generator,Informational,n/a,0,1.0K,,n/a,n/a,89,0.40,0.53,4,133,1 month
qr-code erstellen kostenlos dauerhaft,Informational,n/a,0,1.0K,,n/a,n/a,52,0.87,0.72,Go to a snapshot of the SERP for qr-code erstellen kostenlos dauerhaft,113,1 month
qr-code generieren,Commercial,n/a,0,1.0K,,n/a,n/a,63,0.70,0.73,Go to a snapshot of the SERP for qr-code generieren,126,1 month
qrcode erstellen,Commercial,n/a,0,1.0K,,n/a,n/a,51,0.62,0.71,6,130,1 month
qrcode monky/,Navigational,n/a,0,1.0K,,n/a,n/a,30,0.07,0.28,Go to a snapshot of the SERP for qrcode monky/,132,1 month
qrcoder,Informational,n/a,0,1.0K,,n/a,n/a,35,0.48,0.24,Go to a snapshot of the SERP for qrcoder,135,1 month
qu er,Informational,n/a,0,1.0K,,n/a,n/a,43,0.00,0.33,Go to a snapshot of the SERP for qu er,93,1 month
querkod,Informational,n/a,0,1.0K,,n/a,n/a,46,0.48,0.24,Go to a snapshot of the SERP for querkod,1.7K,1 month
barcode generator kostenlos,Navigational,n/a,0,880,,n/a,n/a,29,0.46,0.14,Go to a snapshot of the SERP for barcode generator kostenlos,n/a,1 month
code generator,Navigational,n/a,0,880,,n/a,n/a,69,1.98,0.26,7,133,1 month
creation qr code,Informational,n/a,0,880,,n/a,n/a,80,0.55,0.62,4,125,1 month
gen qr,Navigational,n/a,0,880,,n/a,n/a,67,0.42,0.55,Go to a snapshot of the SERP for gen qr,131,1 month
generate scan code,Informational,n/a,0,880,,n/a,n/a,84,0.49,0.59,4,140,1 month
kostenlos barcode generator,Navigational,n/a,0,880,,n/a,n/a,24,0.46,0.14,Go to a snapshot of the SERP for kostenlos barcode generator,80,1 month
kostenloser qr code generator,Informational,n/a,0,880,,n/a,n/a,59,0.69,0.77,4,130,1 month
online qr code generator,Commercial,n/a,0,880,,n/a,n/a,89,0.40,0.53,3,135,1 month
qr builder,Commercial,n/a,0,880,,n/a,n/a,77,0.52,0.64,4,128,1 month
qr code create free,Commercial,n/a,0,880,,n/a,n/a,92,0.70,0.71,6,134,1 month
qr code erstellen gratis,Informational,n/a,0,880,,n/a,n/a,62,0.72,0.67,4,126,1 month
qr code erstellen wlan,Informational,n/a,0,880,,n/a,n/a,30,0.43,0.65,8,124,1 month
qr code ersteller,Commercial,n/a,0,880,,n/a,n/a,57,0.62,0.71,5,131,1 month
qr code für visitenkarte,Commercial,n/a,0,880,,n/a,n/a,28,1.59,1.00,7,118,1 month
qr code htc,Informational,n/a,0,880,,n/a,n/a,23,0.00,0.33,Go to a snapshot of the SERP for qr code htc,107,1 month
qr code kostenfrei,Commercial,n/a,0,880,,n/a,n/a,62,0.57,0.66,Go to a snapshot of the SERP for qr code kostenfrei,123,1 month
qr codes kostenlos erstellen,Informational,n/a,0,880,,n/a,n/a,59,0.74,0.74,4,131,1 month
qrcode erzeugen,Commercial,n/a,0,880,,n/a,n/a,63,0.30,0.71,Go to a snapshot of the SERP for qrcode erzeugen,127,1 month
qrcodemonkey,Navigational,n/a,0,880,,n/a,n/a,29,0.29,0.42,Go to a snapshot of the SERP for qrcodemonkey,132,1 month
wie erstelle ich einen qr code,Informational,n/a,0,880,,n/a,n/a,38,0.94,0.68,9,122,1 month
canva qr code erstellen,Informational,n/a,0,720,,n/a,n/a,35,0.99,0.22,Go to a snapshot of the SERP for canva qr code erstellen,109,1 month
create a qr,Informational,n/a,0,720,,n/a,n/a,96,1.06,0.67,Go to a snapshot of the SERP for create a qr,20,1 month
generator qr kod,Commercial,n/a,0,720,,n/a,n/a,62,0.58,0.61,Go to a snapshot of the SERP for generator qr kod,131,1 month
go qr me,Navigational,n/a,0,720,,n/a,n/a,30,0.79,0.32,Go to a snapshot of the SERP for go qr me,103,1 month
goqr.me,Navigational,n/a,0,720,,n/a,n/a,25,0.79,0.32,Go to a snapshot of the SERP for goqr.me,31.4K,1 month
install qr,Informational,n/a,0,720,,n/a,n/a,57,0.27,0.52,Go to a snapshot of the SERP for install qr,127,1 month
kostenloser barcode generator,Navigational,n/a,0,720,,n/a,n/a,20,0.46,0.14,Go to a snapshot of the SERP for kostenloser barcode generator,104,1 month
link qr,Informational,n/a,0,720,,n/a,n/a,70,0.28,0.63,Go to a snapshot of the SERP for link qr,125,1 month
make qr code free,Informational,n/a,0,720,,n/a,n/a,94,0.58,0.68,8,131,1 month
monkey qr code,Informational,n/a,0,720,,n/a,n/a,18,0.12,0.26,5,123,1 month
online q r code,Informational,n/a,0,720,,n/a,n/a,68,0.26,0.25,4,128,1 month
online qr code scanner,Informational,n/a,0,720,,n/a,n/a,58,0.20,0.03,Go to a snapshot of the SERP for online qr code scanner,84,1 month
qr barcode maker,Commercial,n/a,0,720,,n/a,n/a,85,0.58,0.61,Go to a snapshot of the SERP for qr barcode maker,197,1 month
qr code aus link erstellen,Commercial,n/a,0,720,,n/a,n/a,61,0.78,0.73,Go to a snapshot of the SERP for qr code aus link erstellen,123,1 month
qr code beispiel,Informational,n/a,0,720,,n/a,n/a,36,1.02,0.12,Go to a snapshot of the SERP for qr code beispiel,133,1 month
qr code for app,Informational,n/a,0,720,,n/a,n/a,27,0.36,0.48,6,121,1 month
qr code mit logo,Informational,n/a,0,720,,n/a,n/a,37,1.09,0.91,Go to a snapshot of the SERP for qr code mit logo,63,1 month
qr code png,Informational,n/a,0,720,,n/a,n/a,42,1.07,0.14,Go to a snapshot of the SERP for qr code png,91,1 month
qr code scanner online kostenlos,Informational | Commercial,n/a,0,720,,n/a,n/a,36,0.26,0.27,Go to a snapshot of the SERP for qr code scanner online kostenlos,89,1 month
qr code testen,Informational,n/a,0,720,,n/a,n/a,36,1.06,0.33,Go to a snapshot of the SERP for qr code testen,116,1 month
qr erstellen,Commercial,n/a,0,720,,n/a,n/a,60,0.60,0.69,Go to a snapshot of the SERP for qr erstellen,129,1 month
qr gen,Commercial,n/a,0,720,,n/a,n/a,66,0.58,0.61,Go to a snapshot of the SERP for qr gen,159,1 month
qr maker free,Commercial,n/a,0,720,,n/a,n/a,64,0.74,0.72,Go to a snapshot of the SERP for qr maker free,131,1 month
qr mexico,Informational,n/a,0,720,,n/a,n/a,27,0.96,0.03,Go to a snapshot of the SERP for qr mexico,105,1 month
qr vcard,Informational,n/a,0,720,,n/a,n/a,26,1.23,0.71,Go to a snapshot of the SERP for qr vcard,124,1 month
qr-generator,Informational,n/a,0,720,,n/a,n/a,69,0.58,0.61,Go to a snapshot of the SERP for qr-generator,77,1 month
scan code generator,Commercial,n/a,0,720,,n/a,n/a,89,0.58,0.61,Go to a snapshot of the SERP for scan code generator,128,1 month
web address to qr code,Commercial,n/a,0,720,,n/a,n/a,90,0.25,0.55,Go to a snapshot of the SERP for web address to qr code,117,1 month
adobe express qr code,Transactional | Navigational,n/a,0,590,,n/a,n/a,39,1.25,0.12,Go to a snapshot of the SERP for adobe express qr code,107,1 month
bild als qr code,Commercial,n/a,0,590,,n/a,n/a,36,0.84,0.05,Go to a snapshot of the SERP for bild als qr code,134,1 month
cod qr online,Informational,n/a,0,590,,n/a,n/a,75,0.30,0.27,Go to a snapshot of the SERP for cod qr online,126,1 month
develop qr code,Informational,n/a,0,590,,n/a,n/a,65,0.49,0.59,6,127,1 month
erstellen eines qr codes,Informational,n/a,0,590,,n/a,n/a,57,0.66,0.71,Go to a snapshot of the SERP for erstellen eines qr codes,129,1 month
generate qr code free,Commercial,n/a,0,590,,n/a,n/a,91,0.74,0.72,Go to a snapshot of the SERP for generate qr code free,132,1 month
gratis qr code erstellen,Informational,n/a,0,590,,n/a,n/a,61,0.73,0.34,Go to a snapshot of the SERP for gratis qr code erstellen,123,1 month
kod qr google,Navigational,n/a,0,590,,n/a,n/a,38,0.55,0.41,Go to a snapshot of the SERP for kod qr google,104,1 month
kode qr online,Commercial,n/a,0,590,,n/a,n/a,81,0.30,0.27,Go to a snapshot of the SERP for kode qr online,118,1 month
kuerkod,Informational,n/a,0,590,,n/a,n/a,48,0.25,0.33,6,136,1 month
q r mexico,Informational,n/a,0,590,,n/a,n/a,25,0.96,0.03,Go to a snapshot of the SERP for q r mexico,108,1 month
qr cod,Informational,n/a,0,590,,n/a,n/a,66,0.48,0.24,Go to a snapshot of the SERP for qr cod,129,1 month
qr code canva,Informational,n/a,0,590,,n/a,n/a,36,1.21,0.08,7,104,1 month
qr code erstellen ohne anmeldung,Transactional,n/a,0,590,,n/a,n/a,49,0.30,0.65,Go to a snapshot of the SERP for qr code erstellen ohne anmeldung,114,1 month
qr code gen,Informational,n/a,0,590,,n/a,n/a,67,0.58,0.61,Go to a snapshot of the SERP for qr code gen,136,1 month
qr code online,Informational,n/a,0,590,,n/a,n/a,61,0.30,0.27,Go to a snapshot of the SERP for qr code online,126,1 month
qr codes erzeugen,Informational,n/a,0,590,,n/a,n/a,63,0.66,0.71,Go to a snapshot of the SERP for qr codes erzeugen,128,1 month
qr in qr code,Commercial,n/a,0,590,,n/a,n/a,30,0.48,0.24,Go to a snapshot of the SERP for qr in qr code,44,1 month
qr io,Navigational,n/a,0,590,,n/a,n/a,43,0.56,0.43,Go to a snapshot of the SERP for qr io,n/a,1 month
qr kód online,Informational,n/a,0,590,,n/a,n/a,77,0.26,0.25,6,130,1 month
qr maker online,Commercial,n/a,0,590,,n/a,n/a,73,0.43,0.53,Go to a snapshot of the SERP for qr maker online,114,1 month
qr me,Navigational,n/a,0,590,,n/a,n/a,44,0.38,0.32,8,120,1 month
qr qr,Informational,n/a,0,590,,n/a,n/a,70,0.45,0.10,Go to a snapshot of the SERP for qr qr,71,1 month
qr-code für überweisung erstellen kostenlos,Informational,n/a,0,590,,n/a,n/a,28,0.75,0.08,Go to a snapshot of the SERP for qr-code für überweisung erstellen kostenlos,110,1 month
qr-code test,Informational,n/a,0,590,,n/a,n/a,31,1.06,0.33,Go to a snapshot of the SERP for qr-code test,136,1 month
url in qr code,Informational,n/a,0,590,,n/a,n/a,58,0.25,0.55,Go to a snapshot of the SERP for url in qr code,115,1 month
url to qr,Informational,n/a,0,590,,n/a,n/a,70,0.25,0.55,Go to a snapshot of the SERP for url to qr,118,1 month
url to qr code,Informational,n/a,0,590,,n/a,n/a,85,0.25,0.55,Go to a snapshot of the SERP for url to qr code,125,1 month
wie erstelle ich einen qr-code,Informational,n/a,0,590,,n/a,n/a,53,0.95,0.68,Go to a snapshot of the SERP for wie erstelle ich einen qr-code,120,1 month
wie erstellt man einen qr code,Informational,n/a,0,590,,n/a,n/a,24,0.58,0.64,6,119,1 month
/qr,Informational,n/a,0,480,,n/a,n/a,69,0.45,0.10,Go to a snapshot of the SERP for /qr,138,1 month
canva qr code,Navigational | Commercial,n/a,0,480,,n/a,n/a,36,1.06,0.13,Go to a snapshot of the SERP for canva qr code,n/a,1 month
canva qr code generator,Transactional | Navigational,n/a,0,480,,n/a,n/a,45,1.10,0.15,6,n/a,1 month
codice qr online,Informational,n/a,0,480,,n/a,n/a,81,0.30,0.27,Go to a snapshot of the SERP for codice qr online,110,1 month
create free qr code,Informational,n/a,0,480,,n/a,n/a,90,0.74,0.72,Go to a snapshot of the SERP for create free qr code,130,1 month
create qr barcode,Commercial,n/a,0,480,,n/a,n/a,90,0.55,0.62,6,134,1 month
create qr code generator,Informational | Commercial,n/a,0,480,,n/a,n/a,92,0.55,0.61,5,131,1 month
er code,Informational,n/a,0,480,,n/a,n/a,66,0.50,0.02,Go to a snapshot of the SERP for er code,134,1 month
erstelle qr code,Commercial,n/a,0,480,,n/a,n/a,58,0.62,0.71,7,127,1 month
erstellung qr code,Commercial,n/a,0,480,,n/a,n/a,56,0.66,0.71,Go to a snapshot of the SERP for erstellung qr code,132,1 month
free qr barcode,Commercial,n/a,0,480,,n/a,n/a,74,0.76,0.72,Go to a snapshot of the SERP for free qr barcode,136,1 month
free qr code,Commercial,n/a,0,480,,n/a,n/a,68,0.71,0.70,7,123,1 month
get qr code,Commercial,n/a,0,480,,n/a,n/a,46,0.55,0.62,5,127,1 month
kostenloser qr code,Informational,n/a,0,480,,n/a,n/a,59,0.71,0.74,Go to a snapshot of the SERP for kostenloser qr code,128,1 month
kostenloser qr code erstellen,Informational,n/a,0,480,,n/a,n/a,64,0.84,0.79,Go to a snapshot of the SERP for kostenloser qr code erstellen,130,1 month
kostenloser qr code generieren,Commercial,n/a,0,480,,n/a,n/a,64,0.85,0.73,Go to a snapshot of the SERP for kostenloser qr code generieren,123,1 month
leerer qr code,Informational,n/a,0,480,,n/a,n/a,36,0.00,0.33,Go to a snapshot of the SERP for leerer qr code,126,1 month
link codigo qr,Informational,n/a,0,480,,n/a,n/a,60,0.28,0.63,Go to a snapshot of the SERP for link codigo qr,122,1 month
link in qr code,Commercial,n/a,0,480,,n/a,n/a,63,0.40,0.69,Go to a snapshot of the SERP for link in qr code,125,1 month
online qr generator,Commercial,n/a,0,480,,n/a,n/a,60,0.40,0.53,6,127,1 month
qr barcode,Informational,n/a,0,480,,n/a,n/a,47,0.39,0.04,Go to a snapshot of the SERP for qr barcode,139,1 month
qr barcode online,Commercial,n/a,0,480,,n/a,n/a,82,0.30,0.27,Go to a snapshot of the SERP for qr barcode online,95,1 month
qr cide,Informational,n/a,0,480,,n/a,n/a,70,0.48,0.24,6,132,1 month
qr code bild,Informational,n/a,0,480,,n/a,n/a,26,1.10,0.57,Go to a snapshot of the SERP for qr code bild,146,1 month
